order_id,store_id,partner_id,category,order_time,promised_time,delivered_time,delivered_time_dt,delivery_minutes,city,locality,vehicle_type,order_hour,is_on_time,at_risk,predicted_risk_score,predicted_at_risk
O00940,S008,P008,Snacks,2026-06-17 18:37:00,2026-06-17 18:47:00,2026-06-17 18:47:56,2026-06-17 18:47:56,10.933333333333334,Mumbai,Worli,bike,18,0,1,0.5256086059640067,1
O01577,S003,P059,Snacks,2026-06-14 18:24:00,2026-06-14 18:34:00,2026-06-14 18:33:15,2026-06-14 18:33:15,9.25,Mumbai,Powai,bicycle,18,1,0,0.6461746873140938,1
O00502,S006,P007,Fruits & Vegetables,2026-06-30 16:51:00,2026-06-30 17:01:00,2026-06-30 17:02:50,2026-06-30 17:02:50,11.833333333333334,Mumbai,Chembur,bike,16,0,1,0.6994094476422846,1
O01321,S010,P031,Fruits & Vegetables,2026-06-24 11:50:00,2026-06-24 12:00:00,2026-06-24 11:57:29,2026-06-24 11:57:29,7.483333333333333,Mumbai,Goregaon,bike,11,1,0,0.5341708354244245,1
O00548,S020,P005,Grocery,2026-06-23 20:22:00,2026-06-23 20:32:00,2026-06-23 20:32:32,2026-06-23 20:32:32,10.533333333333333,Bengaluru,Malleshwaram,bike,20,0,1,0.5613264472217079,1
O00591,S004,P048,Personal Care,2026-06-15 19:10:00,2026-06-15 19:20:00,2026-06-15 19:27:07,2026-06-15 19:27:07,17.116666666666667,Mumbai,Dadar,bike,19,0,1,0.40596108698153455,0
O01559,S013,P006,Household,2026-06-30 12:49:00,2026-06-30 12:59:00,2026-06-30 12:54:15,2026-06-30 12:54:15,5.25,Bengaluru,Whitefield,bike,12,1,0,0.3228448756669584,0
O01282,S017,P051,Grocery,2026-06-06 17:44:00,2026-06-06 17:54:00,2026-06-06 17:53:31,2026-06-06 17:53:31,9.516666666666667,Bengaluru,JP Nagar,bike,17,1,0,0.6491251995611321,1
O00087,S010,P056,Fruits & Vegetables,2026-06-10 16:03:00,2026-06-10 16:13:00,2026-06-10 16:09:24,2026-06-10 16:09:24,6.4,Mumbai,Goregaon,bike,16,1,0,0.6339679392831419,1
O00990,S002,P036,Snacks,2026-06-30 05:06:00,2026-06-30 05:16:00,2026-06-30 05:11:37,2026-06-30 05:11:37,5.616666666666666,Mumbai,Bandra,bike,5,1,0,0.2541378832485894,0
O01135,S011,P059,Bakery,2026-06-15 14:02:00,2026-06-15 14:12:00,2026-06-15 14:10:57,2026-06-15 14:10:57,8.95,Bengaluru,Koramangala,bicycle,14,1,0,0.6214543104233405,1
O00248,S016,P056,Grocery,2026-06-23 07:13:00,2026-06-23 07:23:00,2026-06-23 07:24:27,2026-06-23 07:24:27,11.45,Bengaluru,Marathahalli,bike,7,0,1,0.3047365056457133,0
O00798,S004,P006,Dairy,2026-06-13 18:57:00,2026-06-13 19:07:00,2026-06-13 19:03:23,2026-06-13 19:03:23,6.383333333333334,Mumbai,Dadar,bike,18,1,0,0.5248897969585674,1
